OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-09061600,"EAST FORK EAGLE RIVER NEAR CLIMAX, CO",Stream,,14010003,7.80,sq mi,,,39.41026540000000,-106.2497468000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10000.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09062000,"EWING DITCH AT TENNESSEE PASS, CO.",Stream: Ditch,,14010003,,,,,39.36359915000000,-106.3064143000000,,5,seconds,Interpolated from MAP.,NAD83,10510.00,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09062500,"WURTZ DITCH NEAR TENNEESSEE PASS, CO.",Stream: Ditch,,14010003,,,,,39.35526570000000,-106.3528042000000,,5,seconds,Interpolated from MAP.,NAD83,10570.00,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09063000,"EAGLE RIVER AT RED CLIFF, CO.",Stream,,14010003,70.2,sq mi,,,39.50831949000000,-106.3666948000000,,1,seconds,Interpolated from MAP.,NAD83,8653.80,feet,.01,feet,Level or other surveyed method.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09063200,"WEARYMAN CREEK NEAR RED CLIFF, CO.",Stream,,14010003,9.53,sq mi,,,39.52220840000000,-106.3236384000000,24000,1,seconds,Interpolated from MAP.,NAD83,9280.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09063400,"TURKEY CREEK NEAR RED CLIFF, CO",Stream,,14010003,23.7,sq mi,,,39.52260278000000,-106.3365500000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,8918.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09063900,"MISSOURI CREEK NEAR GOLD PARK, CO.",Stream,,14010003,6.38,sq mi,,,39.39026486000000,-106.4700294000000,,5,seconds,Interpolated from MAP.,NAD83,9980,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09064000,"HOMESTAKE CREEK AT GOLD PARK, CO.",Stream,,14010003,35.6,sq mi,,,39.40554260000000,-106.4333620000000,,5,seconds,Interpolated from MAP.,NAD83,9200,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09064500,"HOMESTAKE CREEK NEAR RED CLIFF, CO.",Stream,,14010003,58.2,sq mi,,,39.47331980000000,-106.3678056000000,,5,seconds,Interpolated from MAP.,NAD83,8783.00,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09064600,"EAGLE RIVER NEAR MINTURN, CO",Stream,,14010003,186,sq mi,186,sq mi,39.55387495000000,-106.4025290000000,24000,1,seconds,Interpolated from MAP.,NAD83,8078.37,feet,.01,feet,Level or other surveyed method.,NGVD29,US,08,037,,,,,,,,,,NWIS
